Country Name,Series Name,Series Code,2004,2005,2006,2007,2008,2009
Andorra,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..
Andorra,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..
Andorra,Age dependency ratio (% of working-age population),SP.POP.DPND,..,..,..,..,..,..
Andorra,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,0.423552048,0.38324738,0.359695642,0.375712779,0.414406103,0.401167725
Andorra,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.9,10.7,10.6,10.1,10.4,9.9
Andorra,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848
Andorra,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0,0,0,0,0,0
Andorra,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.8,3.6,3.3,2.8,2.8,3.2
Andorra,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..
Andorra,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..
Andorra,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..
Andorra,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,..,..,..,..,..,..
Andorra,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Andorra,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,0.001981084,0.001979857,0.00077425,..,..,..
Andorra,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.7169139,5.75163479,5.99685696,6.10248475,6.09609022,6.07707918
Andorra,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,..,..,..,..,..,..
Andorra,International migrant stock (% of population),SM.POP.TOTL.ZS,..,61.93196508,..,..,..,..
Andorra,Internet users (per 100 people),IT.NET.USER.P2,26.83795439,37.60576622,48.936847,70.87,70.04,78.53
Andorra,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..
Andorra,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..
Andorra,Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,..,..,..,..,..,..
Andorra,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,3.576567143,3.3404929,3.319912737,3.292690834,3.422877267,3.323526165
Andorra,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,0,0,0,0,0
Andorra,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..
Andorra,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,73.82494308,79.48487497,84.27763597,78.1171579,80.2836099,82.06181111
Andorra,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0,0,0,0,0,0
Andorra,Population density (people per sq. km of land area),EN.POP.DNST,166.6744681,172.8148936,177.3893617,180.5914894,182.1617021,181.8595745
Andorra,"Population, total",SP.POP.TOTL,78337,81223,83373,84878,85616,85474
Andorra,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,..,..,..,..,..,..
Andorra,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..,..,..,..,..,..
Andorra,Population growth (annual %),SP.POP.GROW,4.642944647,3.61784254,2.612605765,1.789041541,0.865725022,-0.165994544
Andorra,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,..,..,..,..,..,..
Andorra,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,..,..,..,..,..,..
Andorra,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..
Andorra,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..
Andorra,Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),SI.POV.2DAY,..,..,..,..,..,..
Andorra,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,..,..,..,..,..,..
Andorra,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..
