"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2005",35424.09613,
"AUS","GDP","TOT","USD_CAP","A","2006",37579.476454,
"AUS","GDP","TOT","USD_CAP","A","2007",39352.991291,
"AUS","GDP","TOT","USD_CAP","A","2008",39716.089032,
"AUS","GDP","TOT","USD_CAP","A","2009",41225.728866,
"AUS","GDP","TOT","USD_CAP","A","2010",42364.721503,
"AUS","GDP","TOT","USD_CAP","A","2011",43890.404283,
"AUS","GDP","TOT","USD_CAP","A","2012",43264.197365,
"AUS","GDP","TOT","USD_CAP","A","2013",46959.972337,
"AUS","GDP","TOT","USD_CAP","A","2014",46329.469062,"E"
"AUT","GDP","TOT","USD_CAP","A","2005",34701.953425,
"AUT","GDP","TOT","USD_CAP","A","2006",37629.304018,
"AUT","GDP","TOT","USD_CAP","A","2007",39235.749762,
"AUT","GDP","TOT","USD_CAP","A","2008",41151.37897,
"AUT","GDP","TOT","USD_CAP","A","2009",40629.345448,
"AUT","GDP","TOT","USD_CAP","A","2010",41904.456878,
"AUT","GDP","TOT","USD_CAP","A","2011",44038.724883,
"AUT","GDP","TOT","USD_CAP","A","2012",45878.259449,
"AUT","GDP","TOT","USD_CAP","A","2013",47428.274594,
"AUT","GDP","TOT","USD_CAP","A","2014",47693.30889,
"BEL","GDP","TOT","USD_CAP","A","2005",33057.462141,
"BEL","GDP","TOT","USD_CAP","A","2006",35087.87316,
"BEL","GDP","TOT","USD_CAP","A","2007",36592.354913,
"BEL","GDP","TOT","USD_CAP","A","2008",37857.443881,
"BEL","GDP","TOT","USD_CAP","A","2009",37652.08633,
"BEL","GDP","TOT","USD_CAP","A","2010",39303.240633,
"BEL","GDP","TOT","USD_CAP","A","2011",41118.291654,
"BEL","GDP","TOT","USD_CAP","A","2012",42209.263232,
"BEL","GDP","TOT","USD_CAP","A","2013",43361.55208,
"BEL","GDP","TOT","USD_CAP","A","2014",43723.6484,
"CAN","GDP","TOT","USD_CAP","A","2005",36212.643556,
"CAN","GDP","TOT","USD_CAP","A","2006",37956.803716,
"CAN","GDP","TOT","USD_CAP","A","2007",39417.544804,
"CAN","GDP","TOT","USD_CAP","A","2008",40277.618235,
"CAN","GDP","TOT","USD_CAP","A","2009",38746.256398,
"CAN","GDP","TOT","USD_CAP","A","2010",40069.452177,
"CAN","GDP","TOT","USD_CAP","A","2011",41565.258933,
"CAN","GDP","TOT","USD_CAP","A","2012",42143.184333,
"CAN","GDP","TOT","USD_CAP","A","2013",44282.819728,
"CAN","GDP","TOT","USD_CAP","A","2014",45029.125067,
"CZE","GDP","TOT","USD_CAP","A","2005",22236.640447,
"CZE","GDP","TOT","USD_CAP","A","2006",24334.794471,
