LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	INCOMEINEQ	GINI	INEQ	A	2012	0.326	
AUT	INCOMEINEQ	GINI	INEQ	A	2007	0.285	
AUT	INCOMEINEQ	GINI	INEQ	A	2008	0.281	
AUT	INCOMEINEQ	GINI	INEQ	A	2009	0.289	
AUT	INCOMEINEQ	GINI	INEQ	A	2010	0.28	
AUT	INCOMEINEQ	GINI	INEQ	A	2011	0.282	
AUT	INCOMEINEQ	GINI	INEQ	A	2012	0.276	
BEL	INCOMEINEQ	GINI	INEQ	A	2005	0.28	
BEL	INCOMEINEQ	GINI	INEQ	A	2006	0.271	
BEL	INCOMEINEQ	GINI	INEQ	A	2007	0.282	
BEL	INCOMEINEQ	GINI	INEQ	A	2008	0.271	
BEL	INCOMEINEQ	GINI	INEQ	A	2009	0.275	
BEL	INCOMEINEQ	GINI	INEQ	A	2010	0.27	
BEL	INCOMEINEQ	GINI	INEQ	A	2011	0.273	
BEL	INCOMEINEQ	GINI	INEQ	A	2012	0.268	
CAN	INCOMEINEQ	GINI	INEQ	A	2005	0.316	
CAN	INCOMEINEQ	GINI	INEQ	A	2006	0.317	
CAN	INCOMEINEQ	GINI	INEQ	A	2007	0.318	
CAN	INCOMEINEQ	GINI	INEQ	A	2008	0.321	
CAN	INCOMEINEQ	GINI	INEQ	A	2009	0.32	
CAN	INCOMEINEQ	GINI	INEQ	A	2010	0.319	
CAN	INCOMEINEQ	GINI	INEQ	A	2011	0.315	
CZE	INCOMEINEQ	GINI	INEQ	A	2005	0.261	
CZE	INCOMEINEQ	GINI	INEQ	A	2006	0.261	
CZE	INCOMEINEQ	GINI	INEQ	A	2007	0.257	
CZE	INCOMEINEQ	GINI	INEQ	A	2008	0.26	
CZE	INCOMEINEQ	GINI	INEQ	A	2009	0.258	
CZE	INCOMEINEQ	GINI	INEQ	A	2010	0.264	
CZE	INCOMEINEQ	GINI	INEQ	A	2011	0.262	
CZE	INCOMEINEQ	GINI	INEQ	A	2012	0.256	
DNK	INCOMEINEQ	GINI	INEQ	A	2011	0.251	
DNK	INCOMEINEQ	GINI	INEQ	A	2012	0.249	
FIN	INCOMEINEQ	GINI	INEQ	A	2005	0.265	
FIN	INCOMEINEQ	GINI	INEQ	A	2006	0.268	
FIN	INCOMEINEQ	GINI	INEQ	A	2007	0.269	
FIN	INCOMEINEQ	GINI	INEQ	A	2008	0.264	
FIN	INCOMEINEQ	GINI	INEQ	A	2009	0.259	
FIN	INCOMEINEQ	GINI	INEQ	A	2010	0.264	
FIN	INCOMEINEQ	GINI	INEQ	A	2011	0.264	
FIN	INCOMEINEQ	GINI	INEQ	A	2012	0.26	
FIN	INCOMEINEQ	GINI	INEQ	A	2013	0.262	
FRA	INCOMEINEQ	GINI	INEQ	A	2011	0.309	
FRA	INCOMEINEQ	GINI	INEQ	A	2012	0.306	
DEU	INCOMEINEQ	GINI	INEQ	A	2011	0.291	
DEU	INCOMEINEQ	GINI	INEQ	A	2012	0.289	
GRC	INCOMEINEQ	GINI	INEQ	A	2005	0.346	
GRC	INCOMEINEQ	GINI	INEQ	A	2006	0.339	
GRC	INCOMEINEQ	GINI	INEQ	A	2007	0.333	
GRC	INCOMEINEQ	GINI	INEQ	A	2008	0.33	
GRC	INCOMEINEQ	GINI	INEQ	A	2009	0.331	
GRC	INCOMEINEQ	GINI	INEQ	A	2010	0.339	
GRC	INCOMEINEQ	GINI	INEQ	A	2011	0.337	
GRC	INCOMEINEQ	GINI	INEQ	A	2012	0.34	
HUN	INCOMEINEQ	GINI	INEQ	A	2012	0.289	
HUN	INCOMEINEQ	GINI	INEQ	A	2014	0.288	
ISL	INCOMEINEQ	GINI	INEQ	A	2005	0.276	
ISL	INCOMEINEQ	GINI	INEQ	A	2006	0.292	
ISL	INCOMEINEQ	GINI	INEQ	A	2007	0.289	
ISL	INCOMEINEQ	GINI	INEQ	A	2008	0.309	
ISL	INCOMEINEQ	GINI	INEQ	A	2009	0.27	
ISL	INCOMEINEQ	GINI	INEQ	A	2010	0.254	
ISL	INCOMEINEQ	GINI	INEQ	A	2011	0.257	
ISL	INCOMEINEQ	GINI	INEQ	A	2012	0.257	
IRL	INCOMEINEQ	GINI	INEQ	A	2005	0.324	
IRL	INCOMEINEQ	GINI	INEQ	A	2006	0.318	
IRL	INCOMEINEQ	GINI	INEQ	A	2007	0.305	
IRL	INCOMEINEQ	GINI	INEQ	A	2008	0.296	
IRL	INCOMEINEQ	GINI	INEQ	A	2009	0.314	
IRL	INCOMEINEQ	GINI	INEQ	A	2010	0.3	
