AR = Argentina
AT = Austria
BE-FLA = Belgium
BG = Bulgaria
CA = Canada
CL = Chile
CZ = Czech Republic
TW = Taiwan
HR = Croatia
DK = Denmark
FI = Finland
FR = France
DE-W = Germany
DE-E = Germany
IL-A = Israel- Arabs
IL-J = Israel-Jews
JP = Japan
KR = South Korea
LV = Latvia
LT = Lithuania
MX = Mexico
NO = Norway
NZ = New Zealand
PH = Philippines
RU = Russia
SK = Slovak Republic
SI = Slovenia
ZA = South Africa
ES = Spain
SE = Sweden
CH = Switzerland
TR = Turkey
GB-GBN = Great Britain
US = United States
