"","country","year"
"1","Algeria",2013
"2","Andorra",2005
"3","Argentina",2006
"4","Argentina",2013
"5","Armenia",2011
"6","Australia",2005
"7","Australia",2012
"8","Azerbaijan",2011
"9","Bahrain",2014
"10","Belarus",2011
"11","Brazil",2006
"12","Brazil",2014
"13","Bulgaria",2005
"14","Burkina Faso",2007
"15","Canada",2006
"16","Chile",2006
"17","Chile",2011
"18","China",2007
"19","China",2012
"20","Colombia",2005
"21","Colombia",2012
"22","Cyprus",2006
"23","Cyprus",2011
"24","Ecuador",2013
"25","Egypt",2008
"26","Egypt",2013
"27","Estonia",2011
"28","Ethiopia",2007
"29","Finland",2005
"30","Georgia",2009
"31","Georgia",2014
"32","Germany",2006
"33","Germany",2013
"34","Ghana",2007
"35","Ghana",2012
"36","Hong Kong",2005
"37","Hong Kong",2013
"38","Hungary",2009
"39","India",2006
"40","India",2012
"41","India",2014
"42","Indonesia",2006
"43","Iraq",2006
"44","Iraq",2012
"45","Italy",2005
"46","Japan",2005
"47","Japan",2010
"48","Jordan",2007
"49","Jordan",2014
"50","Kazakhstan",2011
"51","Kuwait",2014
"52","Kyrgyzstan",2011
"53","Lebanon",2013
"54","Libya",2014
"55","Malaysia",2006
"56","Malaysia",2012
"57","Mali",2007
"58","Mexico",2005
"59","Mexico",2012
"60","Moldova",2006
"61","Morocco",2007
"62","Morocco",2011
"63","Netherlands",2006
"64","Netherlands",2012
"65","New Zealand",2004
"66","New Zealand",2011
"67","Nigeria",2011
"68","Norway",2007
"69","Pakistan",2012
"70","Palestine",2013
"71","Peru",2006
"72","Peru",2012
"73","Philippines",2012
"74","Poland",2005
"75","Poland",2012
"76","Qatar",2010
"77","Romania",2005
"78","Romania",2012
"79","Russia",2006
"80","Russia",2011
"81","Rwanda",2007
"82","Rwanda",2012
"83","Serbia and Montenegro",2005
"84","Singapore",2012
"85","Slovenia",2005
"86","Slovenia",2011
"87","South Africa",2006
"88","South Africa",2013
"89","South Korea",2005
"90","South Korea",2010
"91","Spain",2007
"92","Spain",2011
"93","Sweden",2006
"94","Sweden",2011
"95","Taiwan",2006
"96","Taiwan",2012
"97","Thailand",2007
"98","Thailand",2013
"99","Trinidad and Tobago",2006
"100","Trinidad and Tobago",2011
"101","Tunisia",2013
"102","Turkey",2007
"103","Turkey",2011
"104","Ukraine",2006
"105","Ukraine",2011
"106","United States",2006
"107","United States",2011
"108","Uruguay",2006
"109","Uruguay",2011
"110","Uzbekistan",2011
"111","Viet Nam",2006
"112","Yemen",2014
"113","Zambia",2007
"114","Zimbabwe",2012
