country,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Year,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
AFGHANISTAN,-2.25,0.31,1.00,0.00,0.00,2.43,-2.24,0.34,1.00,0.00,0.00,2.91,-2.32,0.37,1.00,0.00,0.00,2.91,-1.64,0.28,2.00,1.95,0.00,9.22,-1.18,0.32,2.00,9.27,1.46,28.64,-0.88,0.24,4.00,17.07,7.28,36.89,-1.23,0.23,4.00,9.76,2.43,21.84,-1.49,0.24,6.00,4.39,0.49,13.59,-1.40,0.29,5.00,5.34,0.97,16.43,-1.48,0.26,6.00,3.88,0.97,14.49,-1.50,0.24,7.00,3.83,0.48,10.95,-1.47,0.23,7.00,4.31,0.95,13.81,-1.46,0.23,7.00,4.74,1.42,14.15,-1.40,0.22,8.00,6.70,0.95,15.24,-1.43,0.21,8.00,6.70,0.95,13.81,-1.34,0.23,8.00,8.17,1.91,16.75
ALBANIA,-0.80,0.29,2.00,22.44,6.80,43.69,-0.69,0.25,3.00,24.88,11.17,46.12,-0.83,0.25,4.00,20.00,7.77,40.78,-0.57,0.23,5.00,32.68,15.53,48.54,-0.61,0.24,5.00,31.22,14.08,49.03,-0.44,0.24,6.00,40.49,19.42,56.80,-0.63,0.20,7.00,31.22,16.99,45.15,-0.46,0.18,9.00,39.02,26.70,50.97,-0.38,0.20,9.00,42.23,26.57,52.66,-0.35,0.20,9.00,44.17,28.99,55.56,-0.24,0.20,9.00,48.33,36.67,57.62,-0.27,0.20,9.00,45.45,32.38,57.14,-0.20,0.20,9.00,47.87,37.26,60.38,-0.28,0.20,9.00,44.98,31.43,57.62,-0.33,0.20,9.00,43.54,30.00,55.24,-0.07,0.21,9.00,51.92,37.32,63.64
ALGERIA,-0.95,0.25,3.00,16.10,5.83,32.52,-0.81,0.20,5.00,20.49,10.19,34.95,-0.96,0.21,5.00,14.15,6.80,30.10,-0.61,0.19,6.00,30.73,17.48,45.15,-0.61,0.17,7.00,30.24,17.48,43.69,-0.52,0.17,8.00,35.12,20.87,48.06,-0.44,0.17,8.00,39.02,27.18,50.49,-0.52,0.18,9.00,35.61,23.30,46.12,-0.60,0.19,9.00,30.10,16.43,45.89,-0.61,0.19,9.00,32.04,16.91,45.89,-0.58,0.19,9.00,35.89,20.48,47.62,-0.48,0.19,9.00,38.76,24.29,49.52,-0.57,0.19,10.00,35.07,18.40,45.75,-0.55,0.19,10.00,34.93,21.43,46.19,-0.56,0.18,11.00,33.49,21.43,45.24,-0.51,0.19,11.00,33.65,20.10,45.45
AMERICAN SAMOA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.20,0.42,1.00,49.27,16.02,71.36,0.19,0.32,1.00,61.95,44.17,72.33,0.20,0.41,1.00,62.44,37.38,77.67,0.46,0.47,1.00,67.96,45.89,84.06,0.48,0.45,1.00,68.45,46.38,85.02,0.49,0.42,1.00,68.90,49.05,84.29,0.49,0.44,1.00,68.90,46.67,84.29,0.48,0.42,1.00,67.30,47.64,83.49,0.48,0.39,1.00,68.42,48.10,82.86,0.48,0.37,1.00,68.90,50.00,81.43,0.42,0.46,1.00,70.19,42.11,85.65
ANDORRA,1.44,0.31,1.00,89.76,81.07,97.09,1.43,0.34,1.00,89.27,79.13,96.12,1.41,0.37,1.00,89.27,79.13,97.57,1.37,0.32,1.00,88.78,78.64,94.66,1.30,0.38,1.00,89.27,73.30,95.63,1.40,0.42,1.00,89.27,75.24,96.60,1.25,0.32,1.00,87.80,73.79,95.63,1.52,0.41,1.00,89.27,76.70,99.51,1.50,0.47,1.00,90.29,76.81,99.03,1.53,0.45,1.00,90.78,77.29,99.52,1.52,0.42,1.00,91.87,75.71,98.57,1.51,0.44,1.00,89.95,75.24,99.05,1.50,0.42,1.00,90.52,75.47,99.53,1.52,0.39,1.00,91.39,76.19,99.52,1.53,0.37,1.00,92.34,77.62,99.52,1.68,0.46,1.00,93.75,77.51,100.00
ANGOLA,-0.84,0.25,3.00,20.49,7.28,36.89,-1.36,0.20,5.00,5.37,2.91,14.08,-1.46,0.21,5.00,3.41,2.91,10.19,-1.25,0.19,6.00,8.29,4.37,15.53,-1.14,0.17,7.00,10.24,5.34,19.42,-1.28,0.17,8.00,6.83,4.85,12.62,-1.17,0.19,7.00,11.22,4.37,21.84,-1.37,0.17,9.00,5.85,1.94,14.08,-1.24,0.21,8.00,8.74,3.38,16.91,-1.07,0.20,8.00,13.59,5.80,25.12,-0.97,0.20,9.00,15.79,7.14,30.48,-1.13,0.19,10.00,11.96,5.24,22.86,-1.15,0.18,10.00,10.90,5.19,20.75,-1.02,0.19,9.00,15.31,7.14,28.10,-1.24,0.17,11.00,10.05,4.29,17.14,-1.15,0.18,11.00,12.98,6.70,18.66
ANGUILLA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.97,0.42,1.00,80.98,66.50,91.26,1.52,0.32,1.00,90.24,81.55,99.03,1.52,0.41,1.00,89.27,76.70,99.51,1.50,0.47,1.00,90.29,76.81,99.03,1.53,0.45,1.00,90.78,77.29,99.52,1.52,0.42,1.00,91.87,75.71,98.57,1.51,0.44,1.00,89.95,75.24,99.05,1.50,0.42,1.00,90.52,75.47,99.53,1.52,0.39,1.00,91.39,76.19,99.52,1.53,0.37,1.00,92.34,77.62,99.52,0.92,0.46,1.00,77.40,60.77,93.30
ANTIGUA AND BARBUDA,0.65,0.31,1.00,75.61,59.71,84.95,0.65,0.34,1.00,75.61,59.22,87.38,0.61,0.37,1.00,74.15,56.31,87.38,0.56,0.32,1.00,71.71,58.25,83.98,0.52,0.38,1.00,70.24,53.88,83.98,0.45,0.38,2.00,68.78,50.49,82.52,0.41,0.31,2.00,65.37,53.40,78.16,0.47,0.41,1.00,68.29,48.54,83.98,0.46,0.47,1.00,67.96,45.89,84.06,0.48,0.45,1.00,68.45,46.38,85.02,0.49,0.42,1.00,68.90,49.05,84.29,0.49,0.44,1.00,68.90,46.67,84.29,0.48,0.42,1.00,67.30,47.64,83.49,0.48,0.39,1.00,68.42,48.10,82.86,0.48,0.37,1.00,68.90,50.00,81.43,-0.09,0.46,1.00,50.00,18.66,72.73
ARGENTINA,0.27,0.23,6.00,62.44,53.40,75.73,0.38,0.19,6.00,67.80,57.77,76.21,0.06,0.19,6.00,58.54,45.63,66.99,-0.26,0.17,8.00,46.83,33.50,58.25,-0.01,0.17,8.00,58.54,45.63,65.05,-0.02,0.17,9.00,58.05,47.09,66.50,-0.09,0.17,9.00,53.66,42.72,60.68,-0.04,0.18,10.00,54.63,44.17,63.59,-0.03,0.19,10.00,53.40,44.44,63.29,-0.13,0.20,10.00,50.97,40.58,60.39,-0.33,0.18,11.00,45.93,31.43,54.76,-0.19,0.19,11.00,48.33,38.10,59.05,-0.14,0.19,11.00,49.29,41.04,60.85,-0.25,0.19,11.00,45.45,32.38,57.62,-0.29,0.18,11.00,44.50,31.43,55.71,-0.18,0.19,11.00,45.67,33.97,59.81
