country,countrycode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
AFGHANISTAN,AFG,-2.54,0.48,2,1.44,0,6.22,-2.57,0.44,2,0.48,0,6.22,-2.57,0.46,2,0.48,0,5.74,-2.21,0.45,2,1.44,0,11.96,-2.26,0.36,2,1.92,0,5.74,-2.3,0.31,4,1.92,0.96,4.78,-2.09,0.31,4,2.4,0.96,6.7,-2.23,0.29,4,1.44,0.96,7.18,-2.4,0.32,3,1.44,0.48,5.74,-2.69,0.32,3,0.48,0.48,2.38,-2.7,0.29,4,0.47,0.47,2.36,-2.55,0.28,4,1.42,0.47,3.76,-2.48,0.27,4,1.42,0.47,2.82,-2.39,0.25,5,1.9,0.47,4.25,-2.5,0.24,6,1.42,0,3.77,-2.46,0.22,6,2.91,0,5.8
ALBANIA,ALB,-0.43,0.43,3,31.25,14.83,55.02,-0.66,0.38,3,25,11.48,44.02,-0.65,0.4,3,26.44,12.44,45.93,-0.39,0.4,3,30.77,18.66,54.55,-0.33,0.33,3,34.62,21.05,51.67,-0.45,0.32,4,29.33,19.14,48.33,-0.49,0.3,5,29.33,18.18,46.41,-0.49,0.27,6,29.81,18.66,44.02,-0.2,0.26,6,37.98,24.88,53.11,-0.03,0.26,6,43.06,30,58.1,-0.05,0.26,6,42.65,29.72,57.55,-0.19,0.26,6,39.62,26.29,53.52,-0.29,0.25,7,38.21,24.88,50.7,-0.16,0.22,8,40.28,29.25,53.3,0.05,0.23,8,48.82,36.79,61.32,0.47,0.2,8,61.65,52.66,75.36
ALGERIA,DZA,-1.86,0.37,4,4.33,2.39,11,-1.96,0.34,4,4.81,0.96,10.05,-1.5,0.33,4,9.13,2.87,19.14,-1.7,0.31,4,6.73,1.91,16.27,-1.78,0.29,5,5.29,2.39,12.92,-1.37,0.28,6,10.58,4.78,19.62,-0.93,0.28,6,20.67,10.05,31.58,-1.12,0.25,7,15.87,8.61,25.36,-1.13,0.24,7,14.42,9.09,23.44,-1.09,0.24,7,14.83,9.52,23.33,-1.22,0.24,7,13.27,8.02,20.28,-1.26,0.24,7,11.32,5.16,20.66,-1.36,0.24,7,10.38,5.63,18.31,-1.32,0.23,7,9.95,5.66,18.87,-1.18,0.23,7,12.32,8.02,20.28,-1.17,0.21,7,10.19,8.7,18.84
AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.77,0.44,1,74.04,47.37,99.04,0.78,0.46,1,69.23,46.41,99.52,0.76,0.44,1,69.71,46.89,99.52,1,0.41,1,83.17,55.5,100,1.02,0.4,1,82.78,57.14,100,0.97,0.37,1,83.89,57.08,100,0.94,0.41,1,81.13,54.93,99.53,0.98,0.43,1,79.72,55.4,99.53,0.99,0.37,1,80.09,59.91,99.53,0.97,0.41,1,80.09,58.02,99.53,1.13,0.32,1,89.32,65.7,99.52
ANDORRA,ADO,1.11,0.61,1,86.06,48.33,100,1.11,0.58,1,87.5,50.72,100,1.1,0.59,1,84.62,51.2,100,1.21,0.52,1,94.23,57.89,100,1.46,0.36,2,98.56,77.99,100,1.43,0.38,2,98.08,74.16,100,1.42,0.4,2,98.56,68.42,100,1.4,0.39,2,98.56,69.86,100,1.38,0.37,2,98.56,73.21,100,1.38,0.36,2,99.04,71.9,100,1.32,0.34,2,94.31,72.17,100,1.31,0.37,2,93.4,70.89,100,1.34,0.37,2,96.7,69.95,100,1.32,0.33,2,95.73,71.23,99.53,1.32,0.36,2,94.31,68.87,99.53,1.33,0.32,1,97.09,73.91,99.52
ANGOLA,AGO,-2.11,0.37,4,3.37,0.48,8.61,-2.35,0.34,4,1.44,0.48,6.22,-2.09,0.33,4,1.92,0,8.61,-1.62,0.31,4,9.13,1.91,17.7,-1.03,0.29,5,19.23,9.57,28.23,-1.04,0.28,6,17.79,7.18,26.32,-0.89,0.29,5,21.15,10.53,34.93,-0.54,0.27,6,28.85,17.7,42.58,-0.7,0.27,5,23.56,14.35,36.36,-0.35,0.27,5,31.58,19.52,49.05,-0.37,0.25,6,31.75,20.75,46.7,-0.22,0.24,7,37.26,26.29,52.11,-0.36,0.24,7,35.38,22.54,49.3,-0.38,0.24,6,35.55,22.17,45.28,-0.39,0.23,7,34.12,21.7,46.7,-0.27,0.21,7,34.47,25.12,48.31
ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.82,0.44,1,75,49.28,99.52,1.24,0.38,2,91.35,66.03,100,1.16,0.37,2,90.87,63.16,100,1.15,0.35,2,91.83,66.99,100,1.16,0.34,2,91.87,67.62,100,0.92,0.34,2,81.99,57.08,99.06,1.44,0.36,2,95.28,76.53,100,1.61,0.34,2,99.53,82.63,100,1.53,0.31,2,99.53,83.02,100,1.59,0.33,2,99.53,84.43,100,1.27,0.28,2,94.66,75.36,99.52
ANTIGUA AND BARBUDA,ATG,0.65,0.61,1,66.35,34.45,100,0.65,0.58,1,67.31,32.06,100,0.64,0.59,1,67.31,34.45,99.04,0.72,0.52,1,69.23,42.11,99.52,0.85,0.36,2,75.96,54.07,97.61,1.15,0.34,3,89.42,65.07,100,0.85,0.35,3,74.04,55.98,99.04,0.84,0.34,3,73.56,54.55,99.04,0.83,0.32,3,76.92,55.02,96.65,0.84,0.32,3,76.08,55.24,97.14,0.75,0.32,3,71.09,51.42,91.98,0.93,0.33,3,80.19,57.28,96.71,0.98,0.31,3,80.66,62.44,98.59,0.99,0.29,3,81.04,63.21,99.06,0.98,0.3,3,81.04,63.21,98.58,0.96,0.28,2,81.55,64.25,98.07
ARGENTINA,ARG,0.02,0.37,4,47.12,26.32,64.59,-0.18,0.34,4,38.46,22.97,58.85,0.05,0.3,5,48.08,31.1,65.55,-0.86,0.28,6,20.67,13.88,30.14,-0.38,0.28,6,33.65,22.49,47.37,-0.57,0.28,7,26.44,18.18,40.67,-0.01,0.27,7,46.15,32.06,59.81,0.02,0.24,8,46.63,33.01,58.85,0.12,0.24,8,47.6,35.89,62.2,-0.07,0.24,8,41.63,30,55.71,-0.24,0.24,8,36.97,25,50.47,-0.09,0.24,8,42.92,29.58,55.87,0.14,0.24,9,51.42,38.97,63.85,0.08,0.22,9,48.82,37.74,60.85,0.05,0.22,9,47.87,36.79,61.32,0.08,0.2,9,49.03,34.78,59.42
